TranscriptID,Position,Class
ENST00000001146,14934,1
ENST00000002501,13852,1
ENST00000002501,13864,1
ENST00000003100,17413,1
ENST00000004531,28285,1
ENST00000004531,28296,1
ENST00000004531,31276,1
ENST00000005260,108566,1
ENST00000005286,12057,1
ENST00000006777,9482,1
ENST00000007264,2477,1
ENST00000007264,3376,1
ENST00000007264,3397,1
ENST00000007516,238,1
ENST00000013070,21052,1
ENST00000014914,17732,1
ENST00000014914,17995,1
ENST00000014914,18039,1
ENST00000014914,18178,1
ENST00000022615,6870,1
ENST00000022615,6896,1
ENST00000025008,37968,1
ENST00000029410,9768,1
ENST00000029410,9873,1
ENST00000033079,93018,1
ENST00000033079,93041,1
ENST00000040738,24660,1
ENST00000043402,25764,1
ENST00000043402,25887,1
ENST00000043402,26034,1
ENST00000043402,26541,1
ENST00000043402,26555,1
ENST00000046640,23878,1
ENST00000046640,23898,1
ENST00000046640,24351,1
ENST00000053867,6878,1
ENST00000053867,6890,1
ENST00000053867,6919,1
ENST00000054950,14484,1
ENST00000064778,195448,1
ENST00000066544,68479,1
ENST00000075120,14927,1
ENST00000075120,14942,1
ENST00000078429,26800,1
ENST00000078429,26812,1
ENST00000156825,14841,1
ENST00000156825,15296,1
ENST00000156825,15318,1
ENST00000156825,15807,1
ENST00000156825,15827,1
ENST00000158771,11679,1
ENST00000158771,11793,1
ENST00000162749,12742,1
ENST00000162749,13207,1
ENST00000162749,13311,1
ENST00000163416,3475,1
ENST00000164024,1387,1
ENST00000164024,22822,1
ENST00000164024,24735,1
ENST00000164024,24774,1
ENST00000164024,2514,1
ENST00000164024,2533,1
ENST00000164024,3835,1
ENST00000166139,5460,1
ENST00000166139,5479,1
ENST00000169551,10004,1
ENST00000170168,21339,1
ENST00000170168,21468,1
ENST00000171111,12021,1
ENST00000171887,96118,1
ENST00000173229,1569,1
ENST00000173229,221234,1
ENST00000173229,221597,1
ENST00000173229,993,1
ENST00000174618,15684,1
ENST00000175091,17004,1
ENST00000175756,18668,1
ENST00000175756,18679,1
ENST00000176643,28638,1
ENST00000181796,255986,1
ENST00000181839,433,1
ENST00000181839,448,1
ENST00000184266,4941,1
ENST00000196061,39961,1
ENST00000196061,40070,1
ENST00000196061,40233,1
ENST00000196061,40271,1
ENST00000196061,40286,1
ENST00000196061,40315,1
ENST00000199389,34924,1
ENST00000201031,8600,1
ENST00000201031,8630,1
ENST00000202017,6460,1
ENST00000202017,6624,1
ENST00000202773,2857,1
ENST00000205061,153941,1
ENST00000205061,153959,1
ENST00000205061,154728,1
ENST00000205061,154790,1
ENST00000205061,154816,1
ENST00000205061,155078,1
ENST00000205061,155091,1
ENST00000209875,38320,1
ENST00000209875,39005,1
ENST00000209875,39025,1
ENST00000215574,9819,1
ENST00000215574,9885,1
ENST00000215957,34695,1
ENST00000215980,8057,1
ENST00000216037,5305,1
ENST00000216037,5341,1
ENST00000216037,5365,1
ENST00000216037,5380,1
ENST00000216037,5456,1
ENST00000216038,24324,1
ENST00000216038,24344,1
ENST00000216038,24356,1
ENST00000216038,24445,1
ENST00000216039,584,1
ENST00000216039,604,1
ENST00000216122,24261,1
ENST00000216122,24275,1
ENST00000216122,24303,1
ENST00000216181,105832,1
ENST00000216214,31628,1
ENST00000216218,30561,1
ENST00000216218,30576,1
ENST00000216237,25126,1
ENST00000216237,25293,1
ENST00000216237,25990,1
ENST00000216268,30720,1
ENST00000216297,31602,1
ENST00000216410,13380,1
ENST00000216410,13397,1
ENST00000216410,13461,1
ENST00000216468,33842,1
ENST00000216468,35343,1
ENST00000216479,11095,1
ENST00000216479,11191,1
ENST00000216489,34325,1
ENST00000216489,34355,1
ENST00000216513,10086,1
ENST00000216554,8385,1
ENST00000216727,4250,1
ENST00000216968,5058,1
ENST00000217109,11107,1
ENST00000217131,10512,1
ENST00000217131,11586,1
ENST00000217131,11726,1
ENST00000217131,11781,1
ENST00000217159,29548,1
ENST00000217159,29567,1
ENST00000217233,15785,1
ENST00000217233,16366,1
ENST00000217381,35321,1
ENST00000217446,116424,1
ENST00000218340,16688,1
ENST00000218789,150795,1
ENST00000218789,151066,1
ENST00000219252,9252,1
ENST00000219252,9281,1
ENST00000219271,20940,1
ENST00000219313,9066,1
ENST00000219313,9129,1
ENST00000219345,14013,1
ENST00000219345,14514,1
ENST00000219345,14591,1
ENST00000219345,15098,1
ENST00000219345,15220,1
ENST00000219439,21436,1
ENST00000219439,21448,1
ENST00000219548,2340,1
ENST00000219689,80878,1
ENST00000219689,80905,1
ENST00000219689,81276,1
ENST00000219689,81706,1
ENST00000219689,81722,1
ENST00000219837,11082,1
ENST00000219837,11102,1
ENST00000219837,13351,1
ENST00000219905,82395,1
ENST00000219905,82476,1
ENST00000219905,82608,1
ENST00000219905,82680,1
ENST00000219905,88897,1
ENST00000219905,8912,1
ENST00000219905,9017,1
ENST00000219905,9043,1
ENST00000220003,20621,1
ENST00000220325,72010,1
ENST00000220507,1166,1
ENST00000220507,1275,1
ENST00000220507,1341,1
ENST00000220507,1358,1
ENST00000220507,1382,1
ENST00000220507,1575,1
ENST00000220509,6044,1
ENST00000220509,6419,1
ENST00000220562,16529,1
ENST00000220562,16547,1
ENST00000220562,16592,1
ENST00000220562,16633,1
ENST00000220562,49768,1
ENST00000220751,32511,1
ENST00000220751,32522,1
ENST00000221130,48478,1
ENST00000221132,34163,1
ENST00000221132,34181,1
ENST00000221496,1959,1
ENST00000221566,27517,1
ENST00000221566,27543,1
ENST00000221566,27979,1
ENST00000221566,27994,1
ENST00000221930,453,1
ENST00000221930,492,1
ENST00000221930,504,1
ENST00000221930,572,1
ENST00000221930,954,1
ENST00000221930,970,1
ENST00000222005,12071,1
ENST00000222120,14481,1
ENST00000222120,14514,1
ENST00000222120,15048,1
ENST00000222139,6091,1
ENST00000222139,6120,1
ENST00000222139,6184,1
ENST00000222139,6202,1
ENST00000222139,6365,1
ENST00000222139,6400,1
ENST00000222219,3013,1
ENST00000222219,5171,1
ENST00000222219,5193,1
ENST00000222219,5570,1
ENST00000222254,16657,1
ENST00000222254,16669,1
ENST00000222254,16688,1
ENST00000222388,13289,1
ENST00000222388,13342,1
ENST00000222584,2693,1
ENST00000222673,102319,1
ENST00000222673,102331,1
ENST00000222673,17760,1
ENST00000222990,59349,1
ENST00000222990,59365,1
ENST00000223061,3528,1
ENST00000223061,3540,1
ENST00000223073,33251,1
ENST00000223073,33266,1
ENST00000223095,10719,1
ENST00000223127,11628,1
ENST00000223321,14780,1
ENST00000223321,14800,1
ENST00000223398,86744,1
ENST00000223398,86759,1
ENST00000223398,86780,1
ENST00000224073,2854,1
ENST00000224073,2878,1
ENST00000224140,90290,1
ENST00000224140,90661,1
ENST00000224140,90680,1
ENST00000224140,90692,1
ENST00000225296,24902,1
ENST00000225296,25028,1
ENST00000225296,25089,1
ENST00000225296,25735,1
ENST00000225296,25750,1
ENST00000225388,7139,1
ENST00000225388,7162,1
ENST00000225388,7503,1
ENST00000225388,7836,1
ENST00000225388,7875,1
ENST00000225388,8020,1
ENST00000225519,26227,1
ENST00000225519,26545,1
ENST00000225519,26566,1
ENST00000225577,53552,1
ENST00000225577,53571,1
ENST00000225665,2587,1
ENST00000225726,26993,1
ENST00000225726,7689,1
ENST00000225777,3252,1
ENST00000225777,3264,1
ENST00000225916,7861,1
ENST00000225916,8063,1
ENST00000225972,15963,1
ENST00000225972,15976,1
ENST00000226004,4164,1
ENST00000226225,10876,1
ENST00000226225,8897,1
ENST00000226225,8950,1
ENST00000226225,9057,1
ENST00000226225,9095,1
ENST00000226225,9170,1
ENST00000226225,9423,1
ENST00000226225,9435,1
ENST00000226230,7561,1
ENST00000226230,7574,1
ENST00000226230,7768,1
ENST00000226230,8180,1
ENST00000226230,8209,1
ENST00000226230,8401,1
ENST00000226319,62198,1
ENST00000226760,31270,1
ENST00000227155,53657,1
ENST00000227638,50787,1
ENST00000228437,9480,1
ENST00000228506,9680,1
ENST00000228515,18931,1
ENST00000228515,18972,1
ENST00000228515,19363,1
ENST00000228918,6663,1
ENST00000228918,6775,1
ENST00000228918,6868,1
ENST00000228918,6883,1
ENST00000228918,6901,1
ENST00000228918,7038,1
ENST00000228918,7422,1
ENST00000229214,11838,1
ENST00000229239,3436,1
ENST00000229239,3458,1
ENST00000229328,12761,1
ENST00000229340,19833,1
ENST00000229340,19862,1
ENST00000229379,2499,1
ENST00000229795,80953,1
ENST00000230340,11632,1
ENST00000230340,11645,1
ENST00000230461,29128,1
ENST00000230859,40257,1
ENST00000230859,40271,1
ENST00000230859,40296,1
ENST00000230859,40313,1
ENST00000230859,42157,1
ENST00000230895,80855,1
ENST00000230895,80875,1
ENST00000231368,44378,1
ENST00000231512,9059,1
ENST00000231512,9078,1
ENST00000231512,9089,1
ENST00000232424,2117,1
ENST00000232766,60925,1
ENST00000233072,121457,1
ENST00000233143,950,1
ENST00000233143,966,1
ENST00000233557,13503,1
ENST00000233616,3202,1
ENST00000233616,3343,1
ENST00000233616,3373,1
ENST00000233616,3402,1
ENST00000233616,3583,1
ENST00000233616,4162,1
ENST00000233616,4190,1
ENST00000233948,14025,1
ENST00000233948,14049,1
ENST00000233948,14080,1
ENST00000234111,7660,1
ENST00000234170,3608,1
ENST00000234170,4016,1
ENST00000234310,71752,1
ENST00000234420,16358,1
ENST00000234590,13362,1
ENST00000234677,906,1
ENST00000234677,928,1
ENST00000234739,78001,1
ENST00000234739,78014,1
ENST00000234739,79544,1
ENST00000234739,79558,1
ENST00000234739,83169,1
ENST00000234831,9956,1
ENST00000237455,19379,1
ENST00000237455,19409,1
ENST00000237455,19487,1
ENST00000237530,5292,1
ENST00000237536,50913,1
ENST00000237536,78462,1
ENST00000237536,79267,1
ENST00000237536,79291,1
ENST00000237536,79334,1
ENST00000237536,79598,1
ENST00000237642,3372,1
ENST00000237654,17418,1
ENST00000237654,27886,1
ENST00000238477,3237,1
ENST00000238477,3384,1
ENST00000238616,42561,1
ENST00000238647,1510,1
ENST00000238647,1528,1
ENST00000238647,1542,1
ENST00000238647,2874,1
ENST00000238647,2991,1
ENST00000238647,3009,1
ENST00000238788,7853,1
ENST00000238788,8094,1
ENST00000238831,137,1
ENST00000238831,14375,1
ENST00000238994,2836,1
ENST00000239223,2505,1
ENST00000239223,2546,1
ENST00000239231,10624,1
ENST00000239231,10635,1
ENST00000239449,2058,1
ENST00000239906,7084,1
ENST00000239906,8960,1
ENST00000239938,2549,1
ENST00000240095,52339,1
ENST00000240095,52353,1
ENST00000240095,52435,1
ENST00000240095,52477,1
ENST00000240095,52522,1
ENST00000240095,52655,1
ENST00000240095,52692,1
ENST00000240095,53145,1
ENST00000240095,53301,1
ENST00000240095,53321,1
ENST00000240095,53515,1
ENST00000240100,13836,1
ENST00000240123,19384,1
ENST00000240306,4999,1
ENST00000240306,5029,1
ENST00000240487,48259,1
ENST00000240487,48272,1
ENST00000241393,2442,1
ENST00000241393,2555,1
ENST00000241393,2740,1
ENST00000241393,2816,1
ENST00000241393,3131,1
ENST00000241393,3169,1
ENST00000241600,3082,1
ENST00000241600,3259,1
ENST00000241600,3649,1
ENST00000241600,3665,1
ENST00000242057,40520,1
ENST00000242057,41300,1
ENST00000242057,41357,1
ENST00000242315,19876,1
ENST00000242315,19891,1
ENST00000242323,758,1
ENST00000242323,789,1
ENST00000243045,2493,1
ENST00000243056,6492,1
ENST00000243056,7440,1
ENST00000243253,17581,1
ENST00000243253,17801,1
ENST00000243253,17900,1
ENST00000243253,17953,1
ENST00000243253,18107,1
ENST00000243253,18141,1
ENST00000243253,18274,1
ENST00000243253,18323,1
ENST00000243253,18518,1
ENST00000243253,18597,1
ENST00000243253,18608,1
ENST00000243253,18761,1
ENST00000243253,18848,1
ENST00000243253,18950,1
ENST00000243253,19266,1
ENST00000243326,65440,1
ENST00000243389,41946,1
ENST00000243389,41967,1
ENST00000243501,208,1
ENST00000243776,1921,1
ENST00000243776,1976,1
ENST00000243776,3900,1
ENST00000243776,4615,1
ENST00000244050,5384,1
ENST00000244061,15916,1
ENST00000244333,4396,1
ENST00000244333,4774,1
ENST00000244519,11181,1
ENST00000244519,11193,1
ENST00000244519,11482,1
ENST00000244519,11494,1
ENST00000244571,13591,1
ENST00000244571,13619,1
ENST00000244745,1691,1
ENST00000244745,2233,1
ENST00000244745,2405,1
ENST00000244745,3109,1
ENST00000245105,27764,1
ENST00000245105,28418,1
ENST00000245105,28451,1
ENST00000245105,28574,1
ENST00000245105,28621,1
ENST00000245185,1204,1
