TranscriptID,Position,Class,,,
ENST00000001146,1268,1,,,
ENST00000002501,1334,1,,,
ENST00000003100,1443,1,,,
ENST00000004531,4071,1,,,
ENST00000004531,7051,1,,,
ENST00000005260,2770,1,,,
ENST00000005286,2858,1,,,
ENST00000006777,1310,1,,,
ENST00000007264,1117,1,,,
ENST00000007264,2016,1,,,
ENST00000013070,2586,1,,,
ENST00000014914,1154,1,,,
ENST00000014914,1417,1,,,
ENST00000014914,1461,1,,,
ENST00000014914,1600,1,,,
ENST00000022615,272,1,,,
ENST00000025008,1000,1,,,
ENST00000029410,1267,1,,,
ENST00000029410,1372,1,,,
ENST00000033079,3411,1,,,
ENST00000040738,3972,1,,,
ENST00000043402,1074,1,,,
ENST00000043402,1595,1,,,
ENST00000043402,804,1,,,
ENST00000043402,927,1,,,
ENST00000046640,1693,1,,,
ENST00000046640,2146,1,,,
ENST00000053867,1384,1,,,
ENST00000053867,1425,1,,,
ENST00000054950,2204,1,,,
ENST00000064778,5041,1,,,
ENST00000066544,2716,1,,,
ENST00000075120,1811,1,,,
ENST00000078429,1364,1,,,
ENST00000156825,1153,1,,,
ENST00000156825,1630,1,,,
ENST00000156825,2119,1,,,
ENST00000158771,1035,1,,,
ENST00000158771,921,1,,,
ENST00000162749,1607,1,,,
ENST00000162749,2072,1,,,
ENST00000162749,2176,1,,,
ENST00000163416,524,1,,,
ENST00000164024,10244,1,,,
ENST00000164024,10283,1,,,
ENST00000164024,1387,1,,,
ENST00000164024,2514,1,,,
ENST00000164024,3835,1,,,
ENST00000164024,9772,1,,,
ENST00000166139,967,1,,,
ENST00000169551,1079,1,,,
ENST00000170168,1769,1,,,
ENST00000170168,1898,1,,,
ENST00000171111,1729,1,,,
ENST00000171887,2584,1,,,
ENST00000173229,268,1,,,
ENST00000173229,4729,1,,,
ENST00000173229,5092,1,,,
ENST00000173229,844,1,,,
ENST00000174618,3621,1,,,
ENST00000175091,978,1,,,
ENST00000175756,2934,1,,,
ENST00000176643,3495,1,,,
ENST00000181796,3433,1,,,
ENST00000181839,448,1,,,
ENST00000184266,370,1,,,
ENST00000196061,2116,1,,,
ENST00000196061,2225,1,,,
ENST00000196061,2388,1,,,
ENST00000196061,2426,1,,,
ENST00000196061,2470,1,,,
ENST00000199389,2406,1,,,
ENST00000201031,1514,1,,,
ENST00000202017,707,1,,,
ENST00000202017,871,1,,,
ENST00000202773,497,1,,,
ENST00000205061,3553,1,,,
ENST00000205061,3664,1,,,
ENST00000209875,1390,1,,,
ENST00000209875,685,1,,,
ENST00000215574,909,1,,,
ENST00000215574,975,1,,,
ENST00000215957,2879,1,,,
ENST00000215980,579,1,,,
ENST00000216037,1112,1,,,
ENST00000216037,1148,1,,,
ENST00000216037,1187,1,,,
ENST00000216037,1263,1,,,
ENST00000216038,1697,1,,,
ENST00000216038,1798,1,,,
ENST00000216039,604,1,,,
ENST00000216122,2469,1,,,
ENST00000216181,6595,1,,,
ENST00000216214,2112,1,,,
