,0,1,2
0,A549,m6A-CLIP-seq,0.7073377778401784
1,A549,"m6A-seq
(improved)",0.8793731254354312
2,Brain,m6A-REF-seq,0.6535860625469798
3,CD8T,m6A-CLIP-seq,0.691319430498553
4,CM2005.1,miCLIP ,0.664537014045979
5,CRMM1,miCLIP ,0.670494335235846
6,ESC,MAZTER-seq,0.509752261559002
7,HCT116,miCLIP ,0.6664982146130523
8,HEK293,m6A-REF-seq,0.7591332275987414
9,HEK293,m6A-SAC-seq,0.6470597099585891
10,HEK293,meCLIP,0.9436507936507936
11,HEK293,miCLIP ,0.826651476527674
12,HEK293E,miCLIP ,0.5063030038727908
13,HEK293T,DART-seq,0.5783922843987028
14,HEK293T,MAZTER-seq,0.42214940988733846
15,HEK293T,m6A-REF-seq,0.8273016728285632
16,HEK293T,m6A-label-seq ,0.6955104575499861
17,HEK293T,m6ACE,0.8007447268014616
18,HEK293T,miCLIP ,0.634765220520664
19,HEK293T,miCLIP2,0.8026197536089109
20,HSPC,m6A-SAC-seq,0.4702314941076388
21,HeLa,PA-m6A-seq,0.6267426374900916
22,HeLa,m6A-CLIP-seq,0.7349271048338115
23,HeLa,m6A-SAC-seq,0.7272200321847847
24,HeLa,miCLIP ,0.5147797472212424
25,HepG2,m6A-SAC-seq,0.6625535059911887
26,HepG2,miCLIP ,0.6064717536687116
27,Kidney,m6A-REF-seq,0.6805165879089052
28,LNCaP,miCLIP ,0.7284719818563702
29,Liver,m6A-REF-seq,0.7083512841778887
30,MCF7,meCLIP,0.9010571288089153
31,MDAMB231,meCLIP,0.8526526241013911
32,MOLM13,miCLIP ,0.7685264061432822
33,OCM1,miCLIP ,0.6936947559234999
34,OCM1a,miCLIP ,0.690991262169544
35,OM431,miCLIP ,0.7180162781032939
36,PIG1,miCLIP ,0.6944862367208089
37,RWPE,miCLIP ,0.7326872256207041
