ID	seqnames	start	strand	Condition_Count	Gene_Name	Gene_Biotype	annotation	RBP_Num	miRNA_Num	SplicingSite_Num	SNP_Num	Cell_Line	Cell_Line_Num	Technique	Technique_Num	Quantification
m6A_Rnor6_1	chr1	1730831	+	1	Lrp11	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_10	chr1	15077053	+	1	Ifngr1	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_100	chr1	100399268	+	1	Syt3	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1000	chr10	108403084	+	1	Gaa	protein_coding	Exon	-1	-1	-1	0	Liver	1	m6A-REF-seq	1	1
m6A_Rnor6_1001	chr10	108405907	+	1	Gaa	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1002	chr10	108409195	+	1	Gaa	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1003	chr10	108410846	+	1	Gaa	protein_coding	Exon	-1	-1	-1	0	Liver	1	m6A-REF-seq	1	1
m6A_Rnor6_1004	chr10	108604848	+	1	Rnf213	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1005	chr10	108625945	+	1	Endov	protein_coding	Intergenic	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	0
m6A_Rnor6_1006	chr10	109280734	+	1	Ndufaf8	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1007	chr10	109672652	+	2	Slc25a10	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney;Liver	2	m6A-REF-seq	1	1
m6A_Rnor6_1008	chr10	109783265	+	1	Anapc11	protein_coding	3'UTR/Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1009	chr10	109903328	+	1	Lrrc45	protein_coding	Exon	-1	-1	-1	0	Liver	1	m6A-REF-seq	1	1
m6A_Rnor6_101	chr1	100466918	+	1	Lrrc4b	protein_coding	Exon	-1	-1	-1	0	Brain	1	m6A-REF-seq	1	1
m6A_Rnor6_1010	chr10	109971531	+	2	Gps1	protein_coding	Exon	-1	-1	-1	0	Brain;Kidney	2	m6A-REF-seq	1	1
m6A_Rnor6_1011	chr10	110419414	+	1	Hexd	protein_coding	Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
m6A_Rnor6_1012	chr10	110451013	+	1	Narf	protein_coding	Exon	-1	-1	-1	0	Liver	1	m6A-REF-seq	1	1
m6A_Rnor6_1013	chr10	4636720	-	1	Snn	protein_coding	3'UTR/Exon	-1	-1	-1	0	Kidney	1	m6A-REF-seq	1	1
